star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD33822 5726  28  66 4.29 0.04 0.11 0.98 0.03  0.26 0.02 0.06 258 35 1.2200 0.08137 1.048 0.025 16.92 0.64  0.2209 0.0328 no
HD34327 5883  18  62 4.20 0.05 0.11 1.19 0.02 -0.06 0.01 0.05 259 35 1.7105 0.07885 1.113 0.025 19.19 0.52  0.5047 0.0235 no
HD36051 6118  26  65 4.63 0.03 0.10 1.21 0.03 -0.08 0.02 0.05 251 34 1.3885 0.06547 1.067 0.025 19.18 0.62  0.0521 0.0280 no
HD36179 5327  30  67 4.45 0.06 0.12 0.69 0.06 -0.08 0.02 0.05 256 35 0.6027 0.11505 0.850 0.026 17.28 0.90 -0.3707 0.0452 no
HD37226 6178  23  64 4.16 0.04 0.11 1.61 0.03 -0.12 0.02 0.05 252 35 2.6693 0.06341 1.388 0.047 17.95 0.35  0.8229 0.0169 no
HD37548 5950  21  63 4.26 0.03 0.10 1.19 0.02 -0.04 0.02 0.05 255 35 1.5015 0.07165 1.094 0.036 17.12 0.70  0.4077 0.0355 no
HD37990 6215  23  64 4.56 0.04 0.11 1.15 0.03  0.00 0.02 0.05 256 35 1.5691 0.07245 1.140 0.026 19.03 0.57  0.2026 0.0260 no
HD38078 5651  23  64 4.47 0.05 0.11 0.62 0.04 -0.29 0.02 0.05 259 34 0.8471 0.09541 0.873 0.032 17.22 0.76 -0.1403 0.0383 no
HD38265 5549  16  62 4.43 0.03 0.10 0.72 0.03 -0.14 0.01 0.05 256 36 0.8839 0.07402 0.896 0.033 19.37 0.87 -0.1135 0.0390 no
HD38355 5314  42  73 4.35 0.08 0.13 0.75 0.07  0.09 0.03 0.06 257 35 0.6610 0.12336 0.895 0.028 19.97 0.68 -0.2348 0.0295 no
HD38385 7212  83 102 4.61 0.11 0.15 2.87 0.27  0.09 0.05 0.07 213 36 4.0326 0.14385 1.560 0.022 18.95 0.30  0.8210 0.0137 no
HD38772 6106  32  68 4.37 0.03 0.10 1.16 0.04 -0.23 0.02 0.06 254 35 1.3206 0.06526 1.032 0.025 19.94 0.60  0.2870 0.0261 no
HD39427 5682  15  61 4.52 0.04 0.11 0.86 0.02 -0.18 0.01 0.05 256 35 0.9505 0.07591 0.912 0.035 19.41 0.70 -0.1308 0.0313 no
HD40483 6371  48  76 4.39 0.05 0.11 1.80 0.07 -0.06 0.04 0.06 250 35 3.0196 0.07868 1.344 0.040 18.44 0.33  0.6999 0.0155 no
HD40503 4953  51  78 4.29 0.10 0.14 0.81 0.13 -0.03 0.04 0.06 257 36 0.4535 0.14788 0.802 0.021 24.11 0.83 -0.4607 0.0299 no
HD40865 5722  17  62 4.49 0.02 0.10 0.91 0.03 -0.38 0.01 0.05 256 33 0.9171 0.05701 0.857 0.029 19.64 0.72 -0.1041 0.0318 no
HD41087 5562  25  65 4.52 0.03 0.10 0.85 0.04 -0.13 0.02 0.05 256 35 0.9301 0.07783 0.897 0.033 17.80 0.82 -0.1773 0.0400 no
HD41248 5713  21  63 4.49 0.03 0.10 0.84 0.03 -0.37 0.01 0.05 256 34 0.8063 0.06870 0.858 0.031 19.09 0.71 -0.1628 0.0323 no
HD41323 5756  22  63 4.56 0.03 0.10 0.84 0.04 -0.31 0.02 0.05 255 33 0.9589 0.06560 0.888 0.034 19.50 0.65 -0.1445 0.0289 no
HD42505 4738  99 115 4.40 0.23 0.25 0.61 0.37 -0.22 0.04 0.07 258 32 0.2932 0.28644 0.700 0.001 37.36 0.85 -0.8372 0.0197 no
HD43197 5449  42  73 4.30 0.08 0.13 0.83 0.06  0.36 0.03 0.06 256 35 0.6626 0.15310 0.946 0.031 17.76 1.22 -0.1402 0.0596 yes
HD44219 5766  18  62 4.20 0.03 0.10 1.06 0.02  0.04 0.01 0.05 258 35 1.0363 0.06959 1.012 0.022 19.83 0.78  0.2521 0.0341 yes
HD44804 5366  32  68 4.48 0.04 0.11 0.97 0.05  0.03 0.02 0.05 259 33 0.8267 0.08851 0.891 0.028 18.00 0.79 -0.2508 0.0381 no
HD45977 4689 164 174 4.30 0.38 0.39 0.52 0.85  0.03 0.17 0.18 257 33 0.3653 0.47506 0.747 0.023 35.30 1.35 -0.6597 0.0332 no
HD48115 5825  12  61 4.48 0.02 0.10 0.89 0.02 -0.19 0.01 0.05 255 35 0.8715 0.05365 0.946 0.036 17.62 0.61 -0.0853 0.0300 no
HD49035 5640  23  64 4.35 0.04 0.11 1.01 0.03  0.24 0.02 0.05 255 35 0.8948 0.07237 1.004 0.035 18.21 0.53  3.7708 0.0252 no
HD52449 6362  26  65 4.55 0.03 0.10 1.29 0.03  0.12 0.02 0.05 259 35 1.6399 0.05754 1.214 0.017 19.13 0.45  0.2723 0.0204 no
HD54521 5973  18  62 4.54 0.03 0.10 1.02 0.02 -0.01 0.01 0.05 258 35 1.3287 0.07355 1.055 0.033 19.50 0.86  0.0814 0.0383 no
HD56380 5317  22  63 4.35 0.04 0.11 0.53 0.05 -0.42 0.02 0.05 257 33 0.6295 0.08988 0.788 0.021 18.72 0.92 -0.2550 0.0426 no
HD57568 4821  35  69 4.51 0.08 0.13 0.38 0.11 -0.47 0.04 0.07 259 31 0.3430 0.13560 0.700 0.000 28.72 1.42 -0.8489 0.0429 no
HD58489 4800 125 138 4.33 0.27 0.29 0.59 0.45  0.10 0.10 0.11 257 35 0.3976 0.35092 0.775 0.021 24.01 0.97 -0.6123 0.0350 no
HD58676 5104  48  76 4.37 0.09 0.13 0.75 0.11 -0.02 0.03 0.06 260 35 0.5474 0.14386 0.826 0.022 20.18 0.87 -0.4068 0.0374 no
HD61051 5363  27  65 4.37 0.05 0.11 0.70 0.05 -0.10 0.02 0.05 257 35 0.6274 0.09594 0.864 0.028 21.03 0.90 -0.2616 0.0371 no
HD61383 5716  14  61 4.20 0.02 0.10 1.12 0.02 -0.49 0.01 0.05 254 34 1.3657 0.05419 0.924 0.005 18.57 0.64  0.3569 0.0299 no
HD61447 5637  31  67 4.37 0.04 0.11 0.89 0.04  0.17 0.02 0.06 260 35 0.8760 0.09403 0.994 0.034 19.93 1.02 -0.0301 0.0444 no
HD61986 5725  20  63 4.48 0.04 0.11 0.85 0.03 -0.34 0.02 0.05 257 34 0.8806 0.08597 0.870 0.031 19.16 0.88 -0.1109 0.0398 no
HD62128 5828  25  65 4.22 0.03 0.10 1.16 0.02  0.33 0.02 0.05 256 35 1.2631 0.06856 1.124 0.034 19.27 0.69  0.3367 0.0311 no
HD62364 6255  26  65 4.47 0.04 0.11 1.42 0.03 -0.11 0.02 0.05 248 35 1.9908 0.06682 1.157 0.017 19.07 0.43  0.4071 0.0195 no
HD62847 5362  21  63 4.48 0.03 0.10 0.67 0.04 -0.25 0.02 0.05 257 33 0.6282 0.07456 0.819 0.025 18.87 0.82 -0.3713 0.0377 no
HD63685 5497  19  62 4.05 0.03 0.10 0.94 0.02  0.00 0.01 0.05 258 35 1.1711 0.05427 1.013 0.014 20.45 0.43  0.3723 0.0182 no
HD63754 6200  38  71 4.21 0.05 0.11 1.57 0.04  0.21 0.03 0.06 252 35 2.1767 0.08046 1.407 0.023 19.76 0.45  0.6905 0.0197 no
HD64640 5174  64  87 4.31 0.11 0.15 0.77 0.13  0.18 0.04 0.07 258 35 0.5846 0.17340 0.881 0.026 19.75 0.95 -0.2946 0.0417 no
HD65982 5947  19  62 4.42 0.03 0.10 1.08 0.02 -0.10 0.01 0.05 255 35 1.1509 0.06902 1.011 0.037 17.13 0.66  0.1314 0.0334 no
