HD65216   5612  16 4.44 0.02 0.78 0.03 -0.17 0.01 256 34 0.874 4.48  0.707 0.021 5.21 yes
HD65277   4802  88 4.43 0.18 0.55 0.34 -0.31 0.04 257 32 0.492 4.49  0.207 0.022 6.84 no
HD65562   5076  47 4.39 0.09 0.45 0.18 -0.10 0.03 252 34 0.719 4.51  0.367 0.033 6.09 no
HD65907A  5945  16 4.52 0.02 1.05 0.02 -0.31 0.01 256 34 0.933 4.37  1.241 0.007 4.54 no
HD66221   5635  25 4.40 0.04 0.92 0.03  0.17 0.02 260 35 0.961 4.40  0.948 0.039 4.89 no
HD66428   5705  27 4.31 0.06 0.96 0.03  0.25 0.02 258 35 1.011 4.31  1.284 0.059 4.55 yes
HD67458   5891  12 4.53 0.02 1.04 0.01 -0.16 0.01 256 35 0.978 4.45  1.024 0.017 4.76 no
HD68607   5215  45 4.41 0.08 0.82 0.08  0.07 0.03 251 35 0.814 4.52  0.448 0.035 5.82 no
HD68978A  5965  22 4.48 0.02 1.09 0.02  0.04 0.02 260 34 1.079 4.43  1.242 0.015 4.54 no
HD69655   5961  12 4.44 0.03 1.15 0.01 -0.18 0.01 249 34 0.982 4.36  1.329 0.012 4.47 no
HD69830   5402  28 4.40 0.04 0.80 0.04 -0.06 0.02 255 36 0.821 4.46  0.596 0.008 5.45 yes
HD70642   5668  22 4.40 0.04 0.82 0.03  0.18 0.01 253 36 0.978 4.42  0.955 0.015 4.88 yes
HD70889   6051  15 4.49 0.02 1.13 0.02  0.11 0.01 255 33 1.189 4.51  1.229 0.022 4.54 no
HD71334   5694  13 4.37 0.03 0.95 0.02 -0.09 0.01 255 35 0.901 4.39  0.962 0.029 4.86 no
HD71479   6026  18 4.42 0.02 1.19 0.02  0.24 0.01 256 34 1.181 4.30  1.915 0.037 4.06 no
HD71835   5438  22 4.39 0.04 0.79 0.03 -0.04 0.02 252 34 0.839 4.46  0.629 0.029 5.38 no
HD72579   5449  30 4.27 0.04 0.84 0.04  0.20 0.02 255 35 0.885 4.35  0.857 0.025 5.04 no
HD72673   5243  22 4.46 0.04 0.60 0.06 -0.41 0.01 249 33 0.696 4.52  0.392 0.007 5.95 no
HD72769   5640  27 4.35 0.04 0.98 0.03  0.30 0.02 254 35 0.994 4.35  1.066 0.023 4.76 no
HD73121   6091  16 4.30 0.03 1.34 0.01  0.09 0.01 247 34 1.234 4.18  2.803 0.018 3.64 no
HD73256   5526  30 4.42 0.06 1.11 0.04  0.23 0.02 257 34 0.968 4.51  0.686 0.024 5.27 yes
HD73524   6017  13 4.43 0.03 1.14 0.01  0.16 0.01 255 35 1.137 4.39  1.489 0.014 4.34 no
HD74014   5561  27 4.33 0.04 0.90 0.03  0.22 0.02 256 34 0.938 4.39  0.901 0.028 4.96 no
HD75289   6161  21 4.37 0.03 1.29 0.02  0.30 0.01 254 35 1.238 4.35  1.919 0.014 4.04 yes
HD76151   5788  23 4.48 0.02 0.96 0.03  0.12 0.02 256 35 1.037 4.48  0.961 0.013 4.85 no
HD78429   5760  19 4.33 0.02 1.01 0.02  0.09 0.01 255 34 0.996 4.28  1.408 0.022 4.44 no
HD78538   5786  13 4.50 0.03 0.98 0.02 -0.03 0.01 247 34 1.022 4.52  0.849 0.041 4.98 no
HD78558   5711  18 4.36 0.02 0.99 0.02 -0.44 0.01 254 32 0.814 4.19  1.379 0.029 4.47 no
HD78612   5834  14 4.27 0.02 1.14 0.02 -0.24 0.01 253 34 0.946 4.14  1.970 0.040 4.06 no
HD78747   5778  18 4.46 0.02 1.03 0.03 -0.67 0.01 240 34 0.756 4.29  1.078 0.023 4.72 no
HD80883   5233  35 4.44 0.06 0.80 0.07 -0.25 0.03 260 34 0.734 4.50  0.430 0.024 5.86 no
HD81639   5522  20 4.40 0.03 0.79 0.03 -0.17 0.02 251 34 0.829 4.45  0.680 0.029 5.28 no
HD82342   4820  61 4.41 0.14 0.30 0.35 -0.54 0.03 253 31 0.616 4.62  0.198 0.015 6.88 no
HD82516   5104  60 4.46 0.11 0.71 0.16  0.01 0.04 254 35 0.738 4.48  0.415 0.024 5.94 no
HD82943   5989  20 4.43 0.02 1.10 0.02  0.26 0.01 259 33 1.150 4.39  1.479 0.020 4.35 yes
HD83443   5511  45 4.43 0.08 0.93 0.07  0.34 0.03 255 35 0.949 4.39  0.851 0.034 5.04 yes
HD83529   5902  12 4.35 0.01 1.11 0.01 -0.22 0.01 254 33 0.958 4.27  1.553 0.020 4.31 no
HD85119   5425  25 4.52 0.03 0.93 0.04 -0.20 0.02 255 33 0.982 4.70  0.416 0.039 5.84 no
HD85390   5186  54 4.41 0.09 0.75 0.11 -0.07 0.03 254 33 0.758 4.50  0.425 0.025 5.89 no
HD85512   4715 102 4.39 0.28 0.23 0.86 -0.32 0.03 237 21 0.742 4.86  0.126 0.008 7.43 no
HD86065   5026  60 4.50 0.12 0.91 0.14 -0.06 0.03 256 34 0.838 4.70  0.263 0.041 6.47 no
HD86140   4903  59 4.55 0.10 0.31 0.30 -0.25 0.04 254 31 0.759 4.68  0.225 0.027 6.69 no
HD86171   5400  20 4.47 0.03 0.81 0.03 -0.25 0.01 249 33 0.828 4.57  0.474 0.035 5.70 no
HD87521   4854  74 4.37 0.15 0.76 0.21 -0.04 0.05 256 34 0.708 4.60  0.241 0.035 6.64 no
HD88084   5766  11 4.42 0.02 0.96 0.01 -0.10 0.01 253 34 0.930 4.40  1.021 0.025 4.78 no
HD88218   5878  14 4.16 0.02 1.23 0.01 -0.14 0.01 254 35 1.022 4.05  2.717 0.017 3.70 no
