ALL abundances NOT listed below differ from solar by  -0.04 dex
#  linelist/HATS-1_rv2.moog - SNR: 155                                          
Teff= 6459   log g= 4.59                              vt= 1.05 M/H=-0.04        

Abundance Results for Species Fe I         (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  6739.520   26.00000   1.560  -4.906     9.60    -5.846     8.021    0.243
  6745.110   26.00000   4.580  -2.098     9.70    -5.842     7.867    0.089
  6745.970   26.00000   4.080  -2.661     6.80    -5.997     7.828    0.050
  6750.160   26.00000   2.420  -2.617    68.00    -4.997     7.944    0.167
  6752.710   26.00000   4.640  -1.238    30.10    -5.351     7.692   -0.086
  6786.860   26.00000   4.190  -1.892    18.40    -5.567     7.661   -0.116
  6793.260   26.00000   4.580  -1.909     6.40    -6.026     7.476   -0.301
  6806.850   26.00000   2.730  -3.107    21.90    -5.493     7.699   -0.079
average abundance =  7.778     std. deviation =  0.135     #lines = 202
E.P. correlation:  slope =  -0.077  intercept =   8.054  corr. coeff. =  -0.657
R.W. correlation:  slope =   0.094  intercept =   8.269  corr. coeff. =   0.259
wav. correl.:  slope =  -1.142D-05  intercept =   7.843  corr. coeff. =  -0.049

Abundance Results for Species Fe II        (input abundance =   7.430)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4923.930   26.10000   2.890  -1.548   138.00    -4.552     7.379    0.019
  5132.670   26.10000   2.810  -4.011    17.90    -5.457     7.264   -0.096
  5197.570   26.10000   3.230  -2.295    85.50    -4.784     7.543    0.183
  5234.630   26.10000   3.220  -2.237    76.90    -4.833     7.281   -0.079
  5256.940   26.10000   2.890  -4.023    30.40    -5.238     7.677    0.317
  5264.810   26.10000   3.230  -3.093    46.00    -5.059     7.413    0.053
  5284.110   26.10000   2.890  -3.132    57.00    -4.967     7.405    0.045
  5414.070   26.10000   3.220  -3.572    24.30    -5.348     7.355   -0.005
  5425.250   26.10000   3.200  -3.236    41.70    -5.114     7.420    0.060
  5525.120   26.10000   3.270  -4.000     9.50    -5.765     7.293   -0.067
  5534.850   26.10000   3.250  -2.792    59.00    -4.972     7.413    0.053
  5991.380   26.10000   3.150  -3.541    30.60    -5.292     7.398    0.038
  6084.110   26.10000   3.200  -3.776    19.60    -5.492     7.379    0.019
  6113.320   26.10000   3.220  -4.112    11.50    -5.726     7.434    0.074
  6149.250   26.10000   3.890  -2.719    36.70    -5.224     7.361    0.001
  6238.390   26.10000   3.890  -2.526    44.90    -5.143     7.350   -0.010
  6239.940   26.10000   3.890  -3.452    15.40    -5.608     7.508    0.148
  6247.560   26.10000   3.890  -2.345    44.40    -5.148     7.156   -0.204
  6369.460   26.10000   2.890  -4.131    14.50    -5.643     7.282   -0.078
  6407.290   26.10000   3.890  -2.897    24.20    -5.423     7.219   -0.141
  6416.930   26.10000   3.890  -2.623    34.50    -5.270     7.200   -0.160
  6432.690   26.10000   2.890  -3.570    43.40    -5.171     7.462    0.102
  6442.970   26.10000   5.550  -2.399     3.80    -6.229     7.152   -0.208
  6456.390   26.10000   3.900  -2.106    61.80    -5.019     7.302   -0.058
  6516.090   26.10000   2.890  -3.277    52.00    -5.098     7.357   -0.003
average abundance =  7.360     std. deviation =  0.120     #lines =  25
E.P. correlation:  slope =  -0.101  intercept =   7.705  corr. coeff. =  -0.504
R.W. correlation:  slope =   0.101  intercept =   7.891  corr. coeff. =   0.301
wav. correl.:  slope =  -8.590D-05  intercept =   7.863  corr. coeff. =  -0.383
